primary_trips,work_trip,study_trip,shopping_trips,recreational_activity,social_activity,e_learning,teleshopping,teleworking,distance_traveled,mode_of_transport,mode_transport,reason_of_mode,change_mode,transport_mode,fac_inf_mode,fac_res_movement,private_car,trotro,uber_bolt,bicycle,motrobike,walking,gender,age,edu,edu_level,employ_status,income,marital_status,household_car_own,motor_bicycle_own
study,2 trips/week,3 trips/week,1 trip/week,1 trip/week,1 trip/week,1/week,2/week,1/week,30.01km and above,private car,Private_transport,safety ans security,No,private car,safety ans security,wearing of nose mask,extremely unlikely,likely,extremely unlikely,extremely unlikely,unlikely,unlikely,Male,41 - 50 years,Postgraduate,postgraduate,Formally Employed,2501 - 3500 cedis,Married,Yes,No
work,5 or more trips/week,2 trips/week,2 trips/week,never,3 trips/week,never,never,1/week,10.01 - 15km,trotro,Paratransit,cost,Yes,trotro,cost,never reduce my movement,unlikely,likely,unlikely,neutral,neutral,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,cost,Yes,private car,infection concern,perception of infection,extremely unlikely,extremely likely,likely,likely,likely,neutral,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,5 or more trips/week,5 or more trips/week,5 or more trips/week,5 or more trips/week,3/week,1/week,never,30.01km and above,trotro,Paratransit,safety ans security,Yes,uber/bolt,cleaniness,perception of infection,extremely unlikely,extremely likely,neutral,unlikely,unlikely,unlikely,Female,18 - 24 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,No
study,never,1 trip/week,never,never,1 trip/week,1/week,never,never,30.01km and above,trotro,Paratransit,cost,No,trotro,cost,social distance,likely,extremely likely,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,No,Yes
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,never,never,never,30.01km and above,trotro,Paratransit,availability,No,trotro,availability,never reduce my movement,unlikely,extremely likely,extremely likely,extremely unlikely,neutral,extremely unlikely,Male,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,101 - 500 cedis,Single,No,No
shopping,never,1 trip/week,2 trips/week,2 trips/week,1 trip/week,1/week,never,never,10.01 - 15km,trotro,Paratransit,safety ans security,Yes,taxi,safety ans security,perception of infection,unlikely,extremely likely,extremely unlikely,neutral,neutral,likely,Female,18 - 24 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Cohabitation,No,No
work,5 or more trips/week,1 trip/week,1 trip/week,never,1 trip/week,never,never,1/week,30.01km and above,taxi,Paratransit,safety ans security,No,taxi,safety ans security,social distance,extremely unlikely,extremely likely,neutral,unlikely,unlikely,neutral,Male,25 - 30 years,High school certififcate,high school certififcate,Self Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,5/more/week,5/more/week,1/week,10.01 - 15km,taxi,Paratransit,cost,Yes,trotro,safety ans security,social distance,unlikely,neutral,neutral,unlikely,unlikely,extremely likely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,101 - 500 cedis,Single,No,No
work,3 trips/week,1 trip/week,never,never,never,never,never,4/week,30.01km and above,private car,Private_transport,comfort,No,private car,safety ans security,wearing of nose mask,unlikely,extremely likely,neutral,likely,likely,likely,Female,25 - 30 years,Bachelors degree,first degree,Unemployed,less 100 cedis,Married,No,No
work,5 or more trips/week,never,1 trip/week,never,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,availability,No,trotro,availability,wearing of nose mask,extremely unlikely,extremely likely,unlikely,unlikely,unlikely,extremely unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,2501 - 3500 cedis,Single,No,Yes
shopping,never,1 trip/week,2 trips/week,never,1 trip/week,1/week,never,never,5.01 - 10km,uber/bolt,Ride_hailing,safety ans security,No,uber/bolt,safety ans security,never reduce my movement,extremely unlikely,unlikely,extremely unlikely,extremely unlikely,unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
study,2 trips/week,2 trips/week,1 trip/week,1 trip/week,never,2/week,2/week,never,30.01km and above,walking,Non_motorized_transport,safety ans security,Yes,uber/bolt,safety ans security,social distance,extremely likely,extremely unlikely,extremely likely,unlikely,neutral,extremely unlikely,Female,under 18,High school certififcate,high school certififcate,Student,less 100 cedis,Single,No,No
others,never,never,1 trip/week,1 trip/week,2 trips/week,1/week,never,2/week,5.01 - 10km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,extremely unlikely,likely,likely,neutral,neutral,neutral,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
others,never,never,never,2 trips/week,2 trips/week,3/week,never,never,20.01 - 30km,taxi,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Female,under 18,High school certififcate,high school certififcate,Student,less 100 cedis,Single,No,No
study,never,2 trips/week,never,never,never,1/week,never,1/week,30.01km and above,trotro,Paratransit,cost,No,trotro,cost,wearing of nose mask,neutral,extremely likely,likely,neutral,neutral,likely,Male,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
others,never,never,never,never,never,never,never,never,20.01 - 30km,trotro,Paratransit,cost,No,trotro,cost,never reduce my movement,extremely unlikely,extremely unlikely,unlikely,unlikely,unlikely,likely,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
study,never,1 trip/week,never,never,never,1/week,never,never,30.01km and above,trotro,Paratransit,availability,No,trotro,availability,never reduce my movement,extremely unlikely,extremely likely,likely,unlikely,unlikely,unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,501 - 1000 cedis,Married,No,Yes
shopping,never,never,1 trip/week,never,1 trip/week,never,never,never,30.01km and above,trotro,Paratransit,cost,Yes,motor bike,social distance,social distance,likely,extremely likely,neutral,unlikely,unlikely,likely,Male,31 - 40 years,Bachelors degree,first degree,Self Employed,501 - 1000 cedis,Married,No,Yes
work,5 or more trips/week,1 trip/week,2 trips/week,never,1 trip/week,never,never,never,20.01 - 30km,private car,Private_transport,safety ans security,No,private car,safety ans security,perception of infection,extremely unlikely,likely,likely,unlikely,unlikely,unlikely,Male,41 - 50 years,Postgraduate,postgraduate,Formally Employed,3500 - above cedis,Married,Yes,No
others,never,never,never,never,1 trip/week,never,1/week,never,10.01 - 15km,trotro,Paratransit,cost,Yes,trotro,cost,perception of infection,extremely unlikely,likely,neutral,likely,likely,likely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1501 - 2500 cedis,Single,No,No
others,never,never,never,never,1 trip/week,never,1/week,never,10.01 - 15km,trotro,Paratransit,cost,Yes,trotro,cost,perception of infection,likely,likely,likely,likely,likely,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,4 trip/week,5 or more trips/week,4 trip/week,5 or more trips/week,4/week,5/more/week,3/week,30.01km and above,trotro,Paratransit,cost,No,trotro,cost,social distance,extremely unlikely,unlikely,neutral,extremely unlikely,unlikely,extremely unlikely,Male,31 - 40 years,Postgraduate,postgraduate,Unemployed,501 - 1000 cedis,Married,No,No
shopping,never,1 trip/week,2 trips/week,never,1 trip/week,1/week,never,never,5.01 - 10km,uber/bolt,Ride_hailing,safety ans security,Yes,private car,safety ans security,never reduce my movement,extremely unlikely,unlikely,extremely unlikely,unlikely,unlikely,unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
shopping,1 trip/week,never,2 trips/week,1 trip/week,1 trip/week,never,1/week,never,30.01km and above,trotro,Paratransit,infection concern,Yes,taxi,infection concern,social distance,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Formally Employed,501 - 1000 cedis,Single,No,No
study,never,5 or more trips/week,1 trip/week,never,1 trip/week,5/more/week,never,never,10.01 - 15km,uber/bolt,Ride_hailing,safety ans security,No,uber/bolt,safety ans security,perception of infection,extremely unlikely,likely,unlikely,extremely unlikely,extremely unlikely,likely,Male,25 - 30 years,HND/diploma,HND/diploma,Student,101 - 500 cedis,Single,No,No
others,never,never,never,never,never,never,never,never,20.01 - 30km,taxi,Paratransit,safety ans security,No,taxi,safety ans security,wearing of nose mask,likely,unlikely,extremely unlikely,extremely unlikely,neutral,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1501 - 2500 cedis,Single,No,No
others,never,never,never,never,never,5/more/week,never,never,0 - 5km,trotro,Paratransit,safety ans security,Yes,walking,cleaniness,social distance,unlikely,extremely likely,neutral,neutral,unlikely,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
study,never,1 trip/week,1 trip/week,never,1 trip/week,1/week,1/week,2/week,30.01km and above,private car,Private_transport,safety ans security,Yes,private car,safety ans security,perception of infection,extremely unlikely,unlikely,extremely unlikely,unlikely,extremely unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Self Employed,less 100 cedis,Single,No,Yes
shopping,never,never,2 trips/week,never,never,never,never,never,10.01 - 15km,trotro,Paratransit,comfort,Yes,taxi,social distance,social distance,unlikely,extremely likely,neutral,likely,likely,unlikely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
study,never,5 or more trips/week,never,never,2 trips/week,never,never,never,10.01 - 15km,trotro,Paratransit,availability,No,trotro,availability,never reduce my movement,extremely unlikely,extremely likely,unlikely,neutral,neutral,neutral,Male,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
others,2 trips/week,1 trip/week,never,never,2 trips/week,never,never,never,10.01 - 15km,taxi,Paratransit,safety ans security,No,taxi,safety ans security,wearing of nose mask,extremely unlikely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Unemployed,101 - 500 cedis,Single,No,No
study,never,1 trip/week,1 trip/week,never,1 trip/week,1/week,never,never,5.01 - 10km,uber/bolt,Ride_hailing,safety ans security,No,uber/bolt,safety ans security,never reduce my movement,extremely unlikely,unlikely,extremely unlikely,neutral,unlikely,unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
study,never,3 trips/week,1 trip/week,never,never,never,never,never,20.01 - 30km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,extremely unlikely,likely,extremely unlikely,unlikely,unlikely,unlikely,Female,25 - 30 years,Postgraduate,postgraduate,Student,101 - 500 cedis,Single,No,No
others,never,1 trip/week,never,1 trip/week,never,never,1/week,1/week,5.01 - 10km,taxi,Paratransit,comfort,No,taxi,comfort,perception of infection,extremely unlikely,likely,neutral,extremely unlikely,extremely unlikely,neutral,Female,25 - 30 years,Bachelors degree,first degree,Unemployed,less 100 cedis,Single,No,No
others,never,1 trip/week,2 trips/week,never,2 trips/week,never,1/week,1/week,30.01km and above,trotro,Paratransit,cost,No,trotro,cost,perception of infection,unlikely,extremely likely,likely,neutral,neutral,likely,Female,25 - 30 years,Bachelors degree,first degree,Unemployed,1501 - 2500 cedis,Single,No,No
others,never,1 trip/week,never,1 trip/week,never,never,never,never,5.01 - 10km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,social distance,extremely unlikely,likely,neutral,extremely unlikely,extremely unlikely,unlikely,Male,18 - 24 years,HND/diploma,HND/diploma,Unemployed,101 - 500 cedis,Single,No,No
study,never,1 trip/week,never,1 trip/week,never,never,never,never,5.01 - 10km,trotro,Paratransit,safety ans security,No,trotro,safety ans security,social distance,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,unlikely,Male,18 - 24 years,HND/diploma,HND/diploma,Unemployed,101 - 500 cedis,Single,No,No
study,never,4 trip/week,4 trip/week,3 trips/week,3 trips/week,1/week,1/week,1/week,0 - 5km,trotro,Paratransit,travel cost time,No,trotro,travel cost time,social distance,unlikely,likely,extremely unlikely,unlikely,unlikely,unlikely,Female,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
shopping,never,never,2 trips/week,1 trip/week,never,never,never,never,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,wearing of nose mask,unlikely,likely,unlikely,neutral,neutral,likely,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,never,2 trips/week,2 trips/week,2 trips/week,1/week,never,1/week,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,unlikely,extremely likely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,5 or more trips/week,1 trip/week,never,5 or more trips/week,never,never,1/week,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,never reduce my movement,unlikely,neutral,unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,Yes
others,never,never,never,never,never,2/week,2/week,2/week,10.01 - 15km,trotro,Paratransit,safety ans security,Yes,taxi,infection concern,frequent washing of hands,unlikely,neutral,extremely unlikely,extremely unlikely,extremely unlikely,neutral,Female,18 - 24 years,HND/diploma,HND/diploma,Student,101 - 500 cedis,Single,No,No
work,1 trip/week,never,never,1 trip/week,never,never,1/week,never,30.01km and above,trotro,Paratransit,safety ans security,Yes,uber/bolt,safety ans security,wearing of nose mask,extremely unlikely,extremely unlikely,extremely likely,extremely likely,unlikely,extremely unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,501 - 1000 cedis,Single,No,No
shopping,1 trip/week,1 trip/week,2 trips/week,never,never,2/week,4/week,2/week,10.01 - 15km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,unlikely,likely,Male,25 - 30 years,Postgraduate,postgraduate,Formally Employed,1501 - 2500 cedis,Single,No,No
others,never,never,never,never,never,never,never,never,5.01 - 10km,trotro,Paratransit,cost,No,trotro,cost,never reduce my movement,neutral,likely,neutral,likely,likely,unlikely,Male,18 - 24 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,never,never,never,1 trip/week,never,never,never,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,social distance,likely,likely,extremely unlikely,likely,likely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Unemployed,less 100 cedis,Single,No,No
work,3 trips/week,4 trip/week,2 trips/week,3 trips/week,2 trips/week,2/week,3/week,2/week,30.01km and above,trotro,Paratransit,comfort,No,trotro,comfort,wearing of nose mask,extremely likely,neutral,extremely likely,neutral,likely,neutral,Male,under 18,High school certififcate,high school certififcate,Student,3500 - above cedis,Single,No,Yes
study,never,1 trip/week,never,never,1 trip/week,5/more/week,never,1/week,20.01 - 30km,taxi,Paratransit,safety ans security,No,taxi,safety ans security,perception of infection,neutral,likely,likely,unlikely,unlikely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
work,2 trips/week,2 trips/week,1 trip/week,1 trip/week,never,2/week,2/week,1/week,30.01km and above,private car,Private_transport,comfort,No,private car,comfort,social distance,likely,likely,extremely unlikely,extremely unlikely,likely,unlikely,Male,25 - 30 years,Bachelors degree,first degree,Student,2501 - 3500 cedis,Single,No,Yes
work,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1 trip/week,1/week,1/week,1/week,10.01 - 15km,private car,Private_transport,safety ans security,Yes,trotro,safety ans security,perception of infection,extremely unlikely,likely,extremely unlikely,likely,likely,likely,Male,18 - 24 years,Bachelors degree,first degree,Student,less 100 cedis,Single,No,No
study,never,5 or more trips/week,2 trips/week,1 trip/week,5 or more trips/week,never,never,never,30.01km and above,trotro,Paratransit,safety ans security,No,trotro,safety ans security,perception of infection,extremely unlikely,extremely likely,likely,likely,likely,likely,Male,18 - 24 years,Bachelors degree,first degree,Student,501 - 1000 cedis,Single,No,No
study,never,5 or more trips/week,never,never,never,never,never,never,0 - 5km,taxi,Paratransit,safety ans security,No,taxi,safety ans security,social distance,extremely unlikely,extremely likely,extremely unlikely,neutral,neutral,extremely unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
study,never,4 trip/week,2 trips/week,2 trips/week,3 trips/week,2/week,never,never,0 - 5km,taxi,Paratransit,availability,No,taxi,availability,perception of infection,unlikely,extremely likely,neutral,neutral,neutral,unlikely,Female,41 - 50 years,Postgraduate,postgraduate,Student,1501 - 2500 cedis,Married,No,No
study,never,2 trips/week,2 trips/week,never,1 trip/week,1/week,never,1/week,30.01km and above,trotro,Paratransit,cost,Yes,uber/bolt,safety ans security,social distance,unlikely,extremely likely,unlikely,neutral,neutral,likely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
study,never,5 or more trips/week,never,never,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,cost,No,trotro,cost,perception of infection,unlikely,extremely likely,likely,unlikely,unlikely,unlikely,Male,25 - 30 years,Postgraduate,postgraduate,Formally Employed,501 - 1000 cedis,Single,No,No
study,1 trip/week,5 or more trips/week,3 trips/week,never,1 trip/week,never,never,never,30.01km and above,taxi,Paratransit,availability,No,taxi,availability,wearing of nose mask,neutral,extremely likely,extremely unlikely,unlikely,unlikely,unlikely,Female,18 - 24 years,High school certififcate,high school certififcate,Student,101 - 500 cedis,Single,No,No
work,never,never,never,never,never,2/week,never,never,0 - 5km,trotro,Paratransit,cost,No,trotro,cost,never reduce my movement,neutral,extremely likely,likely,neutral,neutral,unlikely,Male,18 - 24 years,HND/diploma,HND/diploma,Student,501 - 1000 cedis,Single,No,No
study,5 or more trips/week,5 or more trips/week,2 trips/week,never,never,3/week,never,never,5.01 - 10km,trotro,Paratransit,availability,No,trotro,availability,frequent washing of hands,unlikely,extremely likely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,Postgraduate,postgraduate,Student,501 - 1000 cedis,Single,No,No
others,1 trip/week,1 trip/week,never,1 trip/week,4 trip/week,5/more/week,1/week,2/week,30.01km and above,trotro,Paratransit,cost,Yes,taxi,social distance,social distance,unlikely,extremely likely,extremely unlikely,unlikely,neutral,extremely unlikely,Female,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,101 - 500 cedis,Single,No,No
others,3 trips/week,1 trip/week,2 trips/week,4 trip/week,1 trip/week,1/week,2/week,2/week,30.01km and above,trotro,Paratransit,cost,Yes,uber/bolt,social distance,social distance,unlikely,extremely likely,unlikely,unlikely,likely,unlikely,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1501 - 2500 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,never,1 trip/week,1 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,availability,Yes,taxi,infection concern,wearing of nose mask,extremely unlikely,likely,unlikely,extremely unlikely,likely,likely,Female,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,101 - 500 cedis,Cohabitation,No,No
study,never,5 or more trips/week,never,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,availability,No,trotro,comfort,wearing of nose mask,extremely unlikely,likely,neutral,extremely unlikely,extremely unlikely,extremely likely,Female,18 - 24 years,Bachelors degree,first degree,Student,101 - 500 cedis,Single,No,No
study,never,5 or more trips/week,2 trips/week,1 trip/week,2 trips/week,never,never,never,20.01 - 30km,taxi,Paratransit,availability,Yes,uber/bolt,infection concern,social distance,unlikely,likely,neutral,neutral,extremely unlikely,unlikely,Female,25 - 30 years,HND/diploma,HND/diploma,Student,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,1 trip/week,2 trips/week,1 trip/week,never,never,1/week,5.01 - 10km,trotro,Paratransit,comfort,Yes,uber/bolt,infection concern,perception of infection,extremely unlikely,likely,neutral,neutral,unlikely,extremely unlikely,Female,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,101 - 500 cedis,Single,No,No
work,never,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,availability,Yes,taxi,social distance,social distance,extremely unlikely,neutral,likely,extremely likely,extremely unlikely,extremely unlikely,Male,18 - 24 years,No formal Education,no certificate and can not read,Student,1001 - 1500 cedis,Married,Yes,No
work,5 or more trips/week,never,1 trip/week,3 trips/week,2 trips/week,never,never,never,15.01 - 20km,trotro,Paratransit,safety ans security,No,trotro,comfort,frequent washing of hands,unlikely,likely,extremely unlikely,neutral,extremely likely,extremely unlikely,Female,under 18,No formal Education,no certificate and can not read,Self Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,3 trips/week,2 trips/week,1 trip/week,never,never,never,10.01 - 15km,motor bike,Private_transport,availability,Yes,uber/bolt,infection concern,wearing of nose mask,extremely unlikely,extremely likely,neutral,unlikely,unlikely,likely,Female,18 - 24 years,No formal Education,no certificate and can not read,Self Employed,501 - 1000 cedis,Single,No,Yes
study,5 or more trips/week,5 or more trips/week,3 trips/week,1 trip/week,1 trip/week,never,never,never,15.01 - 20km,trotro,Paratransit,availability,No,trotro,comfort,social distance,neutral,extremely unlikely,extremely unlikely,neutral,neutral,unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Formally Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,never,2/week,10.01 - 15km,private car,Private_transport,availability,No,private car,safety ans security,perception of infection,extremely unlikely,likely,neutral,unlikely,unlikely,extremely likely,Female,41 - 50 years,High school certififcate,high school certififcate,Self Employed,1001 - 1500 cedis,Married,Yes,No
study,5 or more trips/week,5 or more trips/week,never,1 trip/week,1 trip/week,5/more/week,5/more/week,never,20.01 - 30km,private car,Private_transport,availability,No,private car,safety ans security,frequent washing of hands,extremely unlikely,extremely likely,unlikely,neutral,unlikely,likely,Male,51 - 60 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Single,Yes,No
work,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,never,never,10.01 - 15km,trotro,Paratransit,cleaniness,Yes,uber/bolt,infection concern,wearing of nose mask,neutral,extremely likely,unlikely,neutral,extremely unlikely,unlikely,Female,25 - 30 years,High school certififcate,high school certififcate,Self Employed,101 - 500 cedis,Cohabitation,No,No
others,never,5 or more trips/week,never,5 or more trips/week,1 trip/week,never,never,never,10.01 - 15km,taxi,Paratransit,comfort,Yes,walking,safety ans security,wearing of nose mask,extremely unlikely,likely,neutral,unlikely,unlikely,neutral,Female,61 and above,High school certififcate,high school certififcate,Unemployed,101 - 500 cedis,Married,No,No
work,5 or more trips/week,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,private car,Private_transport,availability,No,private car,infection concern,social distance,extremely unlikely,extremely likely,extremely unlikely,unlikely,extremely unlikely,extremely unlikely,Female,31 - 40 years,HND/diploma,HND/diploma,Formally Employed,1001 - 1500 cedis,Married,Yes,No
work,5 or more trips/week,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,3/week,2/week,5/more/week,20.01 - 30km,private car,Private_transport,availability,No,private car,safety ans security,wearing of nose mask,extremely unlikely,neutral,unlikely,unlikely,extremely unlikely,unlikely,Male,51 - 60 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,1 trip/week,2 trips/week,1 trip/week,1 trip/week,never,never,never,15.01 - 20km,taxi,Paratransit,availability,No,taxi,infection concern,frequent washing of hands,unlikely,extremely likely,extremely unlikely,neutral,neutral,likely,Female,51 - 60 years,High school certififcate,high school certififcate,Formally Employed,501 - 1000 cedis,Married,No,No
work,5 or more trips/week,5 or more trips/week,never,1 trip/week,1 trip/week,5/more/week,5/more/week,never,20.01 - 30km,motor bike,Private_transport,availability,No,motor bike,safety ans security,wearing of nose mask,extremely unlikely,extremely likely,neutral,unlikely,unlikely,neutral,Female,31 - 40 years,Bachelors degree,first degree,Formally Employed,1001 - 1500 cedis,Married,No,Yes
work,5 or more trips/week,never,2 trips/week,1 trip/week,1 trip/week,never,5/more/week,never,15.01 - 20km,private car,Private_transport,safety ans security,No,private car,social distance,perception of infection,extremely unlikely,likely,extremely unlikely,extremely unlikely,extremely unlikely,neutral,Male,41 - 50 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,never,1 trip/week,1 trip/week,1 trip/week,1/week,1/week,1/week,5.01 - 10km,trotro,Paratransit,comfort,Yes,taxi,infection concern,social distance,extremely unlikely,likely,unlikely,unlikely,unlikely,extremely unlikely,Female,41 - 50 years,HND/diploma,HND/diploma,Formally Employed,101 - 500 cedis,Single,No,No
work,5 or more trips/week,never,never,1 trip/week,1 trip/week,5/more/week,5/more/week,never,20.01 - 30km,private car,Private_transport,availability,No,uber/bolt,cleaniness,never reduce my movement,extremely likely,neutral,extremely unlikely,unlikely,likely,extremely unlikely,Female,51 - 60 years,No formal Education,no certificate and can not read,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,5 or more trips/week,2 trips/week,1 trip/week,1 trip/week,5/more/week,never,5/more/week,20.01 - 30km,private car,Private_transport,availability,No,private car,safety ans security,wearing of nose mask,unlikely,extremely likely,likely,extremely unlikely,extremely unlikely,neutral,Male,25 - 30 years,Bachelors degree,first degree,Formally Employed,1501 - 2500 cedis,Married,Yes,No
work,5 or more trips/week,5 or more trips/week,never,3 trips/week,3 trips/week,5/more/week,5/more/week,never,5.01 - 10km,uber/bolt,Ride_hailing,comfort,No,uber/bolt,infection concern,wearing of nose mask,extremely unlikely,extremely likely,extremely unlikely,extremely unlikely,extremely unlikely,extremely unlikely,Male,31 - 40 years,Bachelors degree,first degree,Formally Employed,1001 - 1500 cedis,Single,No,No
work,5 or more trips/week,2 trips/week,never,2 trips/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,availability,No,trotro,infection concern,wearing of nose mask,extremely unlikely,likely,neutral,neutral,unlikely,extremely likely,Female,25 - 30 years,Bachelors degree,first degree,Formally Employed,3500 - above cedis,Single,No,No
work,5 or more trips/week,5 or more trips/week,never,1 trip/week,1 trip/week,never,never,never,20.01 - 30km,trotro,Paratransit,availability,No,trotro,safety ans security,wearing of nose mask,extremely unlikely,extremely likely,extremely unlikely,unlikely,likely,neutral,Male,25 - 30 years,HND/diploma,HND/diploma,Formally Employed,1001 - 1500 cedis,Single,No,No
work,5 or more trips/week,never,1 trip/week,never,1 trip/week,never,never,1/week,5.01 - 10km,trotro,Paratransit,safety ans security,Yes,taxi,safety ans security,frequent washing of hands,extremely unlikely,extremely likely,neutral,unlikely,unlikely,unlikely,Male,25 - 30 years,Junior High certififcate,junior high certificate,Self Employed,501 - 1000 cedis,Single,No,No
work,5 or more trips/week,1 trip/week,1 trip/week,never,never,1/week,never,never,0 - 5km,taxi,Paratransit,comfort,Yes,trotro,social distance,frequent washing of hands,neutral,extremely likely,extremely unlikely,neutral,neutral,extremely unlikely,Male,18 - 24 years,Junior High certififcate,junior high certificate,Unemployed,101 - 500 cedis,Single,No,No
